rate,year,sex,flag,totpop,totdeath,stderr,glower,gupper
1.4018022453,2008,F,Both,3309912,47,0.2066951804,1.0262775272,1.8766809622
2.112798183,2008,M,Both,3298333,73,0.2494776195,1.6523007482,2.6792978783
1.7577979122,2008,T,Both,6608245,120,0.1620441747,1.454573645,2.1107915507
8.9073006901,2008,F,Prescription,3309912,316,0.5080401902,7.9392832451,9.9682809475
10.52270714,2008,M,Prescription,3298333,361,0.5596398815,9.4542904085,11.693601149
9.7227537846,2008,T,Prescription,6608245,677,0.3778087737,8.9962638803,10.497235997
0.89188693,2008,F,Illicit,3309912,30,0.1648015738,0.598613501,1.2859735043
3.3348074781,2008,M,Illicit,3298333,115,0.3135147981,2.7487044109,4.0254267746
2.1248603816,2008,T,Illicit,6608245,145,0.1781516409,1.7900446208,2.5092377505
1.4600626113,2009,F,Neither,3341418,47,0.2163340243,1.0671802493,1.9557233967
3.3622411551,2009,M,Neither,3330741,116,0.3163345187,2.7708888648,4.0582986449
2.4067614603,2009,T,Neither,6672159,163,0.191035062,2.0469017496,2.8164678538
1.4549320604,2009,F,Both,3341418,48,0.2129593062,1.0677985332,1.9432881561
2.2827315698,2009,M,Both,3330741,81,0.2565631283,1.8077200786,2.8620538947
1.8695482892,2009,T,Both,6672159,129,0.1668122899,1.5569195388,2.2317755313
9.2862291854,2009,F,Prescription,3341418,326,0.523210617,8.2889554569,10.377973743
9.4733698386,2009,M,Prescription,3330741,323,0.5333819971,8.4566885296,10.592921697
9.3848338238,2009,T,Prescription,6672159,649,0.3734736333,8.6670161333,10.150995037
0.9321406369,2009,F,Illicit,3341418,33,0.164258055,0.6384256833,1.3247049576
3.3978398041,2009,M,Illicit,3330741,116,0.3186494181,2.8020652417,4.0985052194
2.1798034229,2009,T,Illicit,6672159,149,0.1806218139,1.8401727792,2.569020264
1.766177615,2010,F,Neither,3374833,63,0.2272925772,1.349009199,2.2809302458
3.5476927641,2010,M,Neither,3349707,122,0.3258007645,2.9379280517,4.2614832461
2.6528876387,2010,T,Neither,6724540,185,0.1982195683,2.2785968195,3.0760372078
0.8980253215,2010,F,Both,3374833,31,0.1634141471,0.6067609496,1.2900151952
1.7027794596,2010,M,Both,3349707,60,0.2225322547,1.2947868521,2.2157491697
1.3052761885,2010,T,Both,6724540,91,0.1385810681,1.0478545518,1.612151343
8.4390401531,2010,F,Prescription,3374833,296,0.4995506792,7.4882408116,9.4848876145
9.0503430111,2010,M,Prescription,3349707,318,0.5143515636,8.0701984858,10.131227864
8.7551174413,2010,T,Prescription,6724540,614,0.358749636,8.0660062046,9.4920708505
1.0772636669,2010,F,Illicit,3374833,35,0.1842380499,0.7468654579,1.5107911968
2.8175696691,2010,M,Illicit,3349707,97,0.2895556416,2.2787387568,3.4607997471
1.9500944124,2010,T,Illicit,6724540,132,0.1719472155,1.6276655476,2.3223190506
