rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
1.0222215185,2005,T,MORPHINE,6298816,68,0.1245973309,0.792701587,1.3030890825
0.6633043364,2005,F,OPIATE,3157558,21,0.1457159446,0.4091161045,1.0238763252
1.3832425498,2005,M,OPIATE,3141258,46,0.2047439861,1.0113782123,1.8713029063
1.0255813218,2005,T,OPIATE,6298816,67,0.1259462511,0.7936902881,1.3093123606
0.9891181665,2005,F,OXYCODONE,3157558,33,0.172943868,0.6796349204,1.4003100178
2.0882612573,2005,M,OXYCODONE,3141258,69,0.2535823085,1.6210248335,2.6704358864
1.5333759525,2005,T,OXYCODONE,6298816,102,0.1526603588,1.2488119464,1.8687499213
1.35338785,2006,F,ACETAMINOPHEN,3217341,46,0.2011907728,0.9881048299,1.8180778084
0.4238035576,2006,M,ACETAMINOPHEN,3202917,15,0.1100096989,0.236358147,0.7291339274
0.8867115308,2006,T,ACETAMINOPHEN,6420258,61,0.1143607361,0.676847662,1.1470140912
1.4717097603,2006,F,ALCOHOL,3217341,49,0.2117369421,1.0862732472,1.9572702551
3.5272121094,2006,M,ALCOHOL,3202917,116,0.3293592618,2.9112836481,4.2527100759
2.5047714692,2006,T,ALCOHOL,6420258,165,0.1961143275,2.1351380687,2.9246388184
0.4926853101,2006,F,ALPRAZOLAM,3217341,17,0.1203144696,0.2857983541,0.8022666405
0.7214357121,2006,M,ALPRAZOLAM,3202917,24,0.1482828209,0.4606528229,1.098891343
0.6096442284,2006,T,ALPRAZOLAM,6420258,41,0.0958018509,0.4365143724,0.8344076314
1.104398659,2006,F,AMITRIPTYLINE,3217341,37,0.1830514478,0.7751639883,1.5344782826
0.5034660243,2006,M,AMITRIPTYLINE,3202917,16,0.1269857205,0.2861437241,0.8425913624
0.8029210551,2006,T,AMITRIPTYLINE,6420258,53,0.1111409121,0.6000046285,1.05755841
0.8493665055,2006,F,CITALOPRAM,3217341,28,0.1616392906,0.5626169623,1.2386635375
0.4501411586,2006,M,CITALOPRAM,3202917,15,0.1168293803,0.251071213,0.7692615625
0.6512255009,2006,T,CITALOPRAM,6420258,43,0.0999479315,0.4702382781,0.8842193204
1.5294539851,2006,F,COCAINE,3217341,50,0.2178138154,1.1326403233,2.0272628242
4.3989574672,2006,M,COCAINE,3202917,148,0.3635791051,3.7152301971,5.1903385144
